StateAbb	PlaceName	longitude	latitude	DistancetoCapitalCity_km
AL	Hobdy	-85.53161	31.81516	91
AL	Hobdys Bridge	-85.66244	31.78516	85
AL	Hobgood	-87.63475	34.71426	291
AL	Hoboken	-85.14882	31.91183	116
AL	Hoboken	-87.87695	32.02598	157
AL	Hoboken Baptist Church	-87.87668	32.02959	157
AL	Hoboken Cemetery	-87.87640	32.03043	157
AL	Hobson	-85.40745	33.28067	130
AL	Hobson	-86.92999	33.50983	142
AL	Hobson	-88.15334	31.47239	204
AL	Hobson Assembly of God Church	-88.15279	31.47267	204
AL	Hobson City	-85.84413	33.62149	145
AL	Hobson City Park	-85.84219	33.61927	145
AL	Hobson Creek	-87.73530	34.13232	240
AL	Hobson Gap	-86.43526	34.21260	206
AL	Hobson School (historical)	-87.68890	32.76680	142
AL	Hobson Volunteer Fire Department	-88.15202	31.46725	205
AL	Hocutts Mill (historical)	-87.62640	33.53567	183
AL	Hodge	-85.94942	34.61953	253
AL	Hodge Chapel Cemetery	-87.82252	33.87288	223
AL	Hodge Church	-85.94887	34.62092	253
AL	Hodge Creek	-86.83746	31.16129	144
AL	Hodge Island	-85.58440	33.17484	110
AL	Hodge Lake	-87.75407	33.31574	176
AL	Hodge Mine	-85.87274	33.32622	113
AL	Hodge Mountain	-86.24276	34.93703	286
AL	Hodgens Creek	-87.89446	32.07737	157
AL	Hodges	-87.92642	34.32704	268
AL	Hodges Cemetery	-86.87444	33.62260	152
AL	Hodges Cemetery	-87.84002	33.87122	224
AL	Hodges Cemetery	-87.21863	34.46593	250
AL	Hodges Cemetery	-87.92698	34.32788	268
AL	Hodges Cemetery	-86.94751	34.97620	297
AL	Hodges Chapel	-87.82280	33.87316	223
AL	Hodges Creek	-85.70301	33.10068	98
AL	Hodges Dam	-87.91837	34.30676	266
AL	Hodges Junior High School	-87.93170	34.33593	269
AL	Hodges Mathis Mill Creek	-85.27882	31.43378	138
AL	Hodges Pond	-88.03901	31.72017	182
AL	Hodges Post Office	-87.92587	34.32704	268
AL	Hodges Poultry Farms	-85.83889	31.11056	144
AL	Hodges Volunteer Fire Department	-87.92632	34.32828	268
AL	Hodgesville	-85.37299	31.08268	164
AL	Hodgesville Church	-85.37104	31.08351	164
AL	Hodgesville Volunteer Fire Department	-85.37472	31.11481	161
AL	Hodgewood	-88.30224	31.93737	198
AL	Hodnett Creek	-85.59078	32.49903	65
AL	Hodnett Mill Creek	-85.60884	33.02790	96
AL	Hoehn Mine	-87.72862	33.40512	180
AL	Hoff Pond	-85.63613	32.12890	64
AL	Hoff Pond Dam	-85.63495	32.12848	64
AL	Hoffman Rhyne Lake	-86.73831	32.25514	47
AL	Hog Bayou	-88.05500	30.75102	247
AL	Hog Bayou	-87.95166	30.24715	284
AL	Hog Branch	-87.49054	31.08435	183
AL	Hog Branch	-87.92558	33.33651	190
AL	Hog Branch	-86.57249	34.34176	222
AL	Hog Creek	-86.68859	31.97931	58
AL	Hog Creek	-86.53581	32.88651	64
AL	Hog Creek	-85.93384	31.60766	89
AL	Hog Creek	-86.65635	31.40739	112
AL	Hog Creek	-85.45829	33.92260	189
AL	Hog Creek	-86.37415	34.25787	211
AL	Hog Creek Hollow	-86.37415	34.25565	211
AL	Hog Foot Creek	-86.51190	31.11907	139
AL	Hog Heaven	-87.17640	34.38815	241
AL	Hog Hollow	-87.05140	34.27927	226
AL	Hog Hollow	-88.02031	34.89370	325
AL	Hog Island	-85.65691	34.21259	213
AL	Hog Island (historical)	-85.04993	32.26876	114
AL	Hog Island (historical)	-87.43863	34.79314	292
AL	Hog Jaw	-86.56027	34.33232	221
AL	Hog Jaw Creek	-86.57416	34.34065	222
AL	Hog Mountain	-85.84968	33.07595	88
AL	Hog Mountain	-86.68777	33.98788	185
AL	Hog Mountain	-86.95417	34.21149	216
AL	Hog Mountain Goldmine	-85.85135	33.07262	88
